Name	ShapeQuery	Rank	TanimotoCombo	ShapeTanimoto	ColorTanimoto	FitTverskyCombo	FitTversky	FitColorTversky	RefTverskyCombo	RefTversky	RefColorTversky	ScaledColor	ComboScore	ColorScore	Overlap	
ZINC06036223_2	DKPES_CSD_MMMF_1_18	0	 1.375	 0.855	 0.520	 1.702	 0.987	 0.715	 1.521	 0.865	 0.656	 0.653	 1.508	-7.184	1163.930
ZINC01845398_0	DKPES_CSD_MMMF_1_6	0	 0.510	 0.221	 0.289	 1.465	 0.789	 0.676	 0.570	 0.235	 0.335	 0.326	 0.547	-3.584	306.700
ZINC22058386_26	DKPES_CSD_MMMF_1_7	0	 1.023	 0.655	 0.368	 1.482	 0.921	 0.562	 1.210	 0.695	 0.515	 0.513	 1.168	-5.644	926.560
ZINC12362710_1	DKPES_CSD_MMMF_1_31	0	 1.181	 0.771	 0.410	 1.479	 0.871	 0.608	 1.428	 0.870	 0.558	 0.555	 1.326	-6.110	1178.796
ZINC59528245_32	DKPES_CSD_MMMF_1_18	0	 1.188	 0.839	 0.349	 1.469	 0.928	 0.540	 1.394	 0.898	 0.496	 0.494	 1.333	-5.431	1214.537
ZINC09033652_102	DKPES_CSD_MMMF_1_5	0	 1.363	 0.862	 0.501	 1.575	 0.908	 0.667	 1.612	 0.944	 0.667	 0.667	 1.529	-7.341	1279.569
ZINC04097469_12	DKPES_CSD_MMMF_1_18	0	 1.050	 0.764	 0.286	 1.248	 0.846	 0.402	 1.386	 0.887	 0.499	 0.506	 1.270	-5.563	1204.971
ZINC02352230_26	DKPES_CSD_MMMF_1_19	0	 1.141	 0.760	 0.382	 1.478	 0.871	 0.607	 1.363	 0.856	 0.507	 0.502	 1.262	-5.525	1156.300
ZINC21991623_1	DKPES_CSD_MMMF_1_23	0	 1.154	 0.781	 0.372	 1.657	 0.979	 0.678	 1.247	 0.795	 0.452	 0.444	 1.225	-4.885	1064.181
ZINC35044325_189	DKPES_CSD_MMMF_1_15	0	 1.296	 0.766	 0.530	 1.497	 0.853	 0.644	 1.632	 0.883	 0.749	 0.756	 1.522	-8.312	1194.401
ZINC39577812_34	DKPES_CSD_MMMF_1_18	0	 1.356	 0.838	 0.517	 1.691	 0.896	 0.795	 1.526	 0.929	 0.597	 0.589	 1.427	-6.479	1262.036
ZINC65739653_4	DKPES_CSD_MMMF_1_26	0	 1.145	 0.818	 0.327	 1.491	 0.948	 0.542	 1.308	 0.856	 0.453	 0.448	 1.266	-4.932	1150.866
ZINC03881406_184	DKPES_CSD_MMMF_1_0	0	 1.424	 0.870	 0.554	 1.673	 0.927	 0.745	 1.617	 0.933	 0.684	 0.681	 1.551	-7.491	1261.232
ZINC06036223_2	DKPES_CSD_MMMF_1_18	0	 1.375	 0.855	 0.520	 1.702	 0.987	 0.715	 1.521	 0.865	 0.656	 0.653	 1.508	-7.184	1163.948
106765-04-2_0	DKPES_CSD_MMMF_1_32	0	 1.123	 0.744	 0.379	 1.618	 0.931	 0.687	 1.246	 0.788	 0.458	 0.450	 1.194	-4.945	1056.613
2464-18-8_1	DKPES_CSD_MMMF_1_18	0	 1.251	 0.843	 0.408	 1.470	 0.947	 0.523	 1.535	 0.885	 0.650	 0.659	 1.502	-7.250	1195.047
6561-58-6_5	DKPES_CSD_MMMF_1_16	0	 1.461	 0.906	 0.555	 1.659	 0.972	 0.687	 1.674	 0.930	 0.743	 0.747	 1.652	-8.214	1253.161
ENE1_18	DKPES_CSD_MMMF_1_12	0	 1.812	 0.978	 0.834	 1.822	 0.976	 0.846	 1.985	 1.002	 0.983	 0.992	 1.970	-10.911	1357.732
ENE3_32	DKPES_CSD_MMMF_1_15	0	 1.649	 0.963	 0.686	 1.704	 0.970	 0.734	 1.905	 0.992	 0.912	 0.925	 1.887	-10.171	1341.629
16409-34-0_65	DKPES_CSD_MMMF_1_4	0	 1.257	 0.830	 0.427	 1.438	 0.898	 0.540	 1.588	 0.917	 0.671	 0.680	 1.510	-7.479	1241.468
52205-73-9_158	DKPES_CSD_MMMF_1_24	0	 1.100	 0.700	 0.400	 1.432	 0.804	 0.628	 1.368	 0.844	 0.524	 0.519	 1.220	-5.711	1145.614
6785-62-2_29	DKPES_CSD_MMMF_1_22	0	 1.411	 0.865	 0.546	 1.761	 0.985	 0.777	 1.525	 0.877	 0.648	 0.642	 1.507	-7.067	1179.065
ENE4_50	DKPES_CSD_MMMF_1_20	0	 1.511	 0.889	 0.622	 1.624	 0.932	 0.692	 1.811	 0.951	 0.860	 0.872	 1.761	-9.590	1286.317
ENE2_1_6_17	DKPES_CSD_MMMF_1_10	0	 1.751	 0.964	 0.788	 1.786	 0.967	 0.820	 1.949	 0.997	 0.953	 0.961	 1.925	-10.574	1351.912
ZINC06036225_12	DKPES_CSD_MMMF_1_18	0	 1.402	 0.840	 0.562	 1.769	 0.978	 0.790	 1.516	 0.856	 0.660	 0.654	 1.494	-7.192	1152.860
