index,Signal-inhibition,3-Keto,3-Hydroxy,12-Keto,12-Hydroxy,19-Methyl,18-Methyl,Sulfate-Ester,Sulfate-Oxygens,C4-C5-DB,C6-C7-DB,Sulfur,ShapeQuery,TanimotoCombo,ShapeTanimoto,ColorTanimoto,FitTverskyCombo,FitTversky,FitColorTversky,RefTverskyCombo,RefTversky,RefColorTversky,ScaledColor,ComboScore,ColorScore,Overlap
ZINC12658896,0.288,1,0,0,0,1,1,0,0,1,0,0,DKPES_CSD_MMMF_1_12,1.344,0.821,0.523,1.533,0.846,0.687,1.653,0.966,0.687,0.687,1.508,-7.554,1317.655
ZINC71767511,0.28,0,1,1,0,1,1,0,0,0,0,0,DKPES_CSD_MMMF_1_18,1.364,0.832,0.531,1.642,0.948,0.694,1.566,0.872,0.694,0.694,1.526,-7.635,1176.629
ZINC78224296,0.278,0,0,0,0,0,1,0,3,0,0,1,DKPES_CSD_MMMF_1_31,1.063,0.765,0.298,1.346,0.904,0.442,1.31,0.832,0.478,0.48,1.245,-5.278,1122.302
ZINC02352230,0.269,0,0,1,0,0,0,0,2,0,0,0,DKPES_CSD_MMMF_1_19,1.141,0.76,0.382,1.478,0.871,0.607,1.363,0.856,0.507,0.502,1.262,-5.525,1156.3
106765-04-2,0.263,1,0,0,0,0,1,0,0,1,1,0,DKPES_CSD_MMMF_1_32,1.123,0.744,0.379,1.618,0.931,0.687,1.246,0.788,0.458,0.45,1.194,-4.945,1056.613
ZINC83291832,0.241,0,1,0,0,1,1,0,3,0,0,1,DKPES_CSD_MMMF_1_8,1.354,0.852,0.501,1.478,0.891,0.587,1.727,0.952,0.775,0.789,1.641,-8.683,1291.668
ZINC04026280,0.24,0,0,0,0,0,1,0,0,0,0,0,DKPES_CSD_MMMF_1_32,1.184,0.708,0.476,1.692,0.886,0.806,1.316,0.779,0.537,0.528,1.235,-5.804,1045.931
ZINC09033652,0.237,1,0,0,0,1,1,0,0,1,0,0,DKPES_CSD_MMMF_1_5,1.363,0.862,0.501,1.575,0.908,0.667,1.612,0.944,0.667,0.667,1.529,-7.341,1279.569
ZINC05276019,0.235,1,0,1,0,1,1,0,0,0,0,0,DKPES_CSD_MMMF_1_6,1.384,0.86,0.524,1.637,0.949,0.688,1.589,0.901,0.688,0.688,1.547,-7.566,1216.017
ZINC13470739,0.226,0,1,0,0,0,1,0,0,0,0,0,DKPES_CSD_MMMF_1_3,1.18,0.83,0.35,1.445,0.903,0.542,1.408,0.911,0.497,0.495,1.325,-5.445,1233.127
ZINC03872513,0.213,1,0,0,0,1,0,0,0,0,0,0,DKPES_CSD_MMMF_1_26,1.182,0.732,0.45,1.571,0.888,0.682,1.375,0.806,0.57,0.565,1.296,-6.211,1083.714
ZINC12362710,0.209,0,0,1,0,0,0,0,0,0,0,0,DKPES_CSD_MMMF_1_31,1.181,0.771,0.41,1.479,0.871,0.608,1.428,0.87,0.558,0.555,1.326,-6.11,1178.796
ZINC04026083,0.195,0,1,0,0,1,1,0,0,0,0,0,DKPES_CSD_MMMF_1_18,1.386,0.87,0.516,1.707,0.996,0.711,1.525,0.873,0.653,0.65,1.52,-7.145,1174.839
6561-58-6,0.186,0,1,0,0,1,1,0,2,0,0,0,DKPES_CSD_MMMF_1_16,1.461,0.906,0.555,1.659,0.972,0.687,1.674,0.93,0.743,0.747,1.652,-8.214,1253.161
ZINC06036237,0.186,0,1,0,1,1,1,0,0,0,0,0,DKPES_CSD_MMMF_1_18,1.354,0.833,0.52,1.616,0.958,0.659,1.578,0.865,0.712,0.716,1.549,-7.872,1166.51
ZINC08788913,0.183,1,0,0,0,1,1,0,0,1,0,0,DKPES_CSD_MMMF_1_0,1.422,0.878,0.544,1.666,0.93,0.736,1.616,0.941,0.676,0.673,1.551,-7.398,1271.515
ZINC03782605,0.18,1,0,0,0,1,1,0,0,0,0,0,DKPES_CSD_MMMF_1_18,1.169,0.85,0.319,1.508,0.977,0.532,1.312,0.868,0.444,0.44,1.29,-4.839,1168.868
ZINC06036243,0.174,1,0,0,1,1,1,0,1,0,0,0,DKPES_CSD_MMMF_1_18,1.385,0.861,0.523,1.713,0.958,0.755,1.526,0.895,0.63,0.625,1.486,-6.872,1208.946
ZINC06036223,0.17,0,1,0,0,1,1,0,0,0,0,0,DKPES_CSD_MMMF_1_18,1.375,0.855,0.52,1.702,0.987,0.715,1.521,0.865,0.656,0.653,1.508,-7.184,1163.93
ZINC59528245,0.158,1,0,0,0,1,1,0,1,1,1,0,DKPES_CSD_MMMF_1_18,1.188,0.839,0.349,1.469,0.928,0.54,1.394,0.898,0.496,0.494,1.333,-5.431,1214.537
ZINC06036225,0.136,1,0,0,0,1,1,0,0,0,0,0,DKPES_CSD_MMMF_1_18,1.402,0.84,0.562,1.769,0.978,0.79,1.516,0.856,0.66,0.654,1.494,-7.192,1152.86
16409-34-0,0.108,0,0,0,1,1,1,0,2,0,0,0,DKPES_CSD_MMMF_1_4,1.257,0.83,0.427,1.438,0.898,0.54,1.588,0.917,0.671,0.68,1.51,-7.479,1241.468
ZINC03881406,0.074,1,0,0,0,1,1,0,0,0,0,0,DKPES_CSD_MMMF_1_0,1.424,0.87,0.554,1.673,0.927,0.745,1.617,0.933,0.684,0.681,1.551,-7.491,1261.232
ZINC04025723,0.044,1,0,0,0,1,1,0,0,1,0,0,DKPES_CSD_MMMF_1_30,1.408,0.844,0.564,1.747,0.955,0.792,1.541,0.879,0.661,0.655,1.5,-7.209,1184.702
ZINC04097469,0.033,1,0,0,0,1,1,1,2,1,0,0,DKPES_CSD_MMMF_1_18,1.05,0.764,0.286,1.248,0.846,0.402,1.386,0.887,0.499,0.506,1.27,-5.563,1204.971
ZINC03876071,0.032,0,0,0,0,1,1,1,3,1,0,0,DKPES_CSD_MMMF_1_18,1.115,0.764,0.351,1.315,0.847,0.469,1.469,0.887,0.582,0.59,1.354,-6.491,1205.136
ZINC40576706,0,1,0,1,0,1,1,0,0,1,1,0,DKPES_CSD_MMMF_1_23,1.235,0.835,0.4,1.594,0.997,0.597,1.385,0.837,0.548,0.545,1.381,-6,1122.979
ZINC22058386,0,0,0,0,0,0,0,0,3,0,0,1,DKPES_CSD_MMMF_1_7,1.023,0.655,0.368,1.482,0.921,0.562,1.21,0.695,0.515,0.513,1.168,-5.644,926.56
